Date,Timestamp,Open,High,Low,Close,Volume
2020-07-21,00:00:00,296.9,297.6,291.05,294.6,432232
2020-07-22,00:00:00,294.9,309.0,289.5,291.8,893553
2020-07-23,00:00:00,291.7,296.75,288.1,289.65,307907
2020-07-24,00:00:00,288.0,295.0,285.6,287.85,454232
2020-07-27,00:00:00,294.0,294.45,274.1,277.0,597400
2020-07-28,00:00:00,277.0,288.5,276.1,282.65,399308
2020-07-29,00:00:00,282.8,289.4,281.0,284.9,235267
2020-07-30,00:00:00,285.35,287.6,279.05,280.45,170228
2020-07-31,00:00:00,279.6,292.4,278.4,290.5,392958
2020-08-03,00:00:00,292.4,305.0,291.0,296.85,772401
2020-08-04,00:00:00,298.8,309.8,295.0,305.15,852916
2020-08-05,00:00:00,306.7,315.0,291.3,293.2,2404245
2020-08-06,00:00:00,298.0,301.0,291.25,293.35,514282
2020-08-07,00:00:00,293.0,303.5,291.05,298.05,552279
2020-08-10,00:00:00,299.4,302.95,296.0,297.9,368888
2020-08-11,00:00:00,304.2,304.9,289.0,291.05,436764
2020-08-12,00:00:00,291.5,297.9,288.1,293.35,240446
2020-08-13,00:00:00,293.0,295.1,290.2,291.85,627494
2020-08-14,00:00:00,292.75,293.1,277.25,281.45,224532
2020-08-17,00:00:00,283.4,283.65,272.0,272.75,350241
2020-08-18,00:00:00,274.45,292.0,272.15,286.8,895718
2020-08-19,00:00:00,289.0,291.7,284.1,288.15,447688
2020-08-20,00:00:00,286.0,287.0,280.85,282.25,196852
2020-08-21,00:00:00,283.65,289.9,281.5,286.05,491256
2020-08-24,00:00:00,287.9,298.0,283.85,295.1,805778
2020-08-25,00:00:00,298.0,299.8,293.0,294.95,355060
2020-08-26,00:00:00,294.9,301.0,286.25,288.6,785123
2020-08-27,00:00:00,290.0,297.0,286.65,290.4,416281
2020-08-28,00:00:00,291.85,294.65,288.5,290.6,336889
2020-08-31,00:00:00,291.05,297.0,273.3,286.65,479615
2020-09-01,00:00:00,285.0,299.95,283.75,294.0,652238
2020-09-02,00:00:00,296.0,300.0,293.4,298.9,462301
2020-09-03,00:00:00,299.45,305.9,294.0,296.15,534164
2020-09-04,00:00:00,292.0,295.5,288.1,290.2,392179
2020-09-07,00:00:00,292.0,295.05,285.0,291.75,320428
2020-09-08,00:00:00,292.2,295.0,285.1,287.6,254002
2020-09-09,00:00:00,288.7,288.7,278.15,286.3,362081
2020-09-10,00:00:00,287.0,297.5,287.0,294.05,302599
2020-09-11,00:00:00,297.0,298.35,290.45,292.1,331124
2020-09-14,00:00:00,297.0,312.5,295.05,310.2,1158464
2020-09-15,00:00:00,315.1,325.0,309.0,317.8,2395469
2020-09-16,00:00:00,316.35,318.0,312.35,317.2,594636
2020-09-17,00:00:00,315.0,319.1,311.0,312.1,299848
2020-09-18,00:00:00,310.5,313.45,299.45,301.9,1709478
2020-09-21,00:00:00,301.9,308.5,283.05,286.3,387299
2020-09-22,00:00:00,287.2,294.8,272.4,287.9,491924
2020-09-23,00:00:00,290.0,293.0,281.15,287.8,185748
2020-09-24,00:00:00,287.45,287.45,275.45,277.2,164356
2020-09-25,00:00:00,278.6,283.3,274.4,278.1,174654
2020-09-28,00:00:00,281.0,285.3,276.6,277.75,294760
2020-09-29,00:00:00,278.95,282.7,273.0,275.05,329621
2020-09-30,00:00:00,275.5,286.65,274.8,282.95,365155
2020-10-01,00:00:00,283.95,285.9,279.25,280.0,169133
2020-10-05,00:00:00,282.5,290.7,280.45,287.1,406061
2020-10-06,00:00:00,289.85,291.75,282.4,283.2,227881
2020-10-07,00:00:00,283.8,288.0,281.0,283.3,167682
2020-10-08,00:00:00,283.7,286.0,277.2,279.75,144386
2020-10-09,00:00:00,279.75,282.9,277.05,278.8,124631
2020-10-12,00:00:00,279.95,282.0,262.2,270.65,186246
2020-10-13,00:00:00,269.65,271.25,261.5,262.9,159625
2020-10-14,00:00:00,262.0,266.65,260.1,262.95,246524
2020-10-15,00:00:00,263.8,265.45,260.05,260.95,149189
2020-10-16,00:00:00,261.05,266.5,260.1,263.2,111300
2020-10-19,00:00:00,264.5,275.45,263.1,264.55,278991
2020-10-20,00:00:00,264.7,273.8,264.7,270.05,204380
2020-10-21,00:00:00,271.35,285.0,271.0,283.3,324495
2020-10-22,00:00:00,284.0,289.0,281.0,285.15,501891
2020-10-23,00:00:00,285.8,288.9,277.0,279.2,198371
2020-10-26,00:00:00,280.85,292.7,280.4,285.1,715109
2020-10-27,00:00:00,286.0,289.65,279.05,280.1,328927
2020-10-28,00:00:00,280.1,287.95,278.0,279.8,158802
2020-10-29,00:00:00,277.6,281.35,273.1,275.6,149575
2020-10-30,00:00:00,275.1,283.0,271.05,275.7,108591
2020-11-02,00:00:00,271.1,275.0,269.25,273.65,82098
2020-11-03,00:00:00,275.0,279.85,272.5,273.25,88466
2020-11-04,00:00:00,272.25,278.15,272.05,274.45,78965
2020-11-05,00:00:00,275.85,287.0,274.35,284.6,258195
2020-11-06,00:00:00,283.65,288.95,282.35,283.95,1129478
2020-11-09,00:00:00,286.4,289.9,283.5,285.85,130587
2020-11-10,00:00:00,299.0,299.0,282.0,286.5,1282897
2020-11-11,00:00:00,287.35,288.8,281.0,281.95,206717
2020-11-12,00:00:00,283.4,290.05,283.1,287.6,225913
2020-11-13,00:00:00,288.2,288.2,282.0,284.25,162471
2020-11-14,00:00:00,286.9,289.0,285.0,288.05,38519
2020-11-17,00:00:00,289.0,302.45,283.55,300.15,670279
2020-11-18,00:00:00,303.0,309.5,302.95,306.2,404746
2020-11-19,00:00:00,304.0,308.75,303.0,306.8,197015
2020-11-20,00:00:00,306.65,312.0,302.55,309.45,446296
2020-11-23,00:00:00,315.0,325.0,310.8,323.3,1006349
2020-11-24,00:00:00,325.0,332.4,325.0,329.9,501324
2020-11-25,00:00:00,331.0,331.7,324.35,326.95,223817
2020-11-26,00:00:00,332.95,342.55,330.0,338.2,965658
2020-11-27,00:00:00,339.0,351.55,334.0,346.8,894766
2020-12-01,00:00:00,346.95,350.0,342.5,343.95,241156
2020-12-02,00:00:00,344.0,346.95,336.5,338.1,295896
2020-12-03,00:00:00,341.0,344.0,331.6,331.95,333331
2020-12-04,00:00:00,332.75,338.75,328.9,337.55,273243
2020-12-07,00:00:00,338.05,343.9,331.0,339.2,357143
2020-12-08,00:00:00,341.4,345.9,334.0,336.75,217773
2020-12-09,00:00:00,336.4,339.3,327.05,328.65,329242
2020-12-10,00:00:00,330.0,343.75,327.85,339.3,879624
2020-12-11,00:00:00,340.0,347.95,337.1,339.2,367620
2020-12-14,00:00:00,342.0,345.9,338.1,338.65,386288
2020-12-15,00:00:00,338.9,341.75,335.1,337.2,238592
2020-12-16,00:00:00,340.0,344.45,338.85,342.1,243765
2020-12-17,00:00:00,349.0,355.0,338.0,338.5,832175
2020-12-18,00:00:00,339.9,342.2,336.0,337.85,141009
2020-12-21,00:00:00,337.85,339.95,312.55,317.0,263021
2020-12-22,00:00:00,319.0,327.0,311.45,313.95,374041
2020-12-23,00:00:00,316.95,325.95,316.75,324.55,274941
2020-12-24,00:00:00,325.2,329.8,321.0,323.8,213308
2020-12-28,00:00:00,325.25,340.0,325.25,329.0,379861
2020-12-29,00:00:00,331.0,336.35,331.0,333.9,198712
2020-12-30,00:00:00,353.5,366.0,344.05,352.25,3273940
2020-12-31,00:00:00,353.0,353.4,341.0,343.65,457320
2021-01-01,00:00:00,343.0,346.95,343.0,344.8,212834
2021-01-04,00:00:00,347.0,348.15,338.1,339.65,381302
2021-01-05,00:00:00,337.0,347.3,336.6,344.8,313507
2021-01-06,00:00:00,346.5,348.2,333.05,335.2,426061
2021-01-07,00:00:00,339.65,339.85,330.0,331.65,295748
2021-01-08,00:00:00,334.65,336.6,330.0,331.9,220563
2021-01-11,00:00:00,336.9,347.7,332.85,345.15,1122339
2021-01-12,00:00:00,346.0,354.6,345.3,349.3,568912
2021-01-13,00:00:00,351.0,353.15,340.0,347.45,316940
2021-01-14,00:00:00,350.1,354.0,344.05,347.85,206950
2021-01-15,00:00:00,348.1,350.8,344.45,347.4,132499
2021-01-18,00:00:00,345.1,347.0,336.0,339.65,125911
2021-01-19,00:00:00,340.85,343.0,337.3,338.65,77134
2021-01-20,00:00:00,338.1,347.0,338.1,345.4,119672
2021-01-21,00:00:00,346.0,369.0,346.0,365.7,1185337
2021-01-22,00:00:00,368.0,371.7,349.8,351.7,418235
2021-01-25,00:00:00,353.5,360.0,348.0,349.5,297406
2021-01-27,00:00:00,350.1,351.25,338.5,342.1,177267
2021-01-28,00:00:00,339.0,343.7,335.4,341.35,137480
2021-01-29,00:00:00,343.1,346.65,338.5,340.55,105967
2021-02-01,00:00:00,340.95,351.9,336.45,348.65,157250
2021-02-02,00:00:00,350.85,356.25,336.35,340.25,226464
2021-02-03,00:00:00,338.85,349.6,338.0,341.15,314709
2021-02-04,00:00:00,341.6,347.5,339.0,339.8,192543
2021-02-05,00:00:00,341.1,352.0,340.55,342.6,340453
2021-02-08,00:00:00,346.0,350.0,342.25,345.3,234591
2021-02-09,00:00:00,340.0,342.0,329.45,331.15,326349
2021-02-10,00:00:00,332.35,340.0,327.6,329.25,542442
2021-02-11,00:00:00,328.8,333.8,327.0,328.05,276883
2021-02-12,00:00:00,328.1,331.4,317.15,319.4,229752
2021-02-15,00:00:00,319.85,325.75,313.0,313.9,289043
2021-02-16,00:00:00,315.0,319.0,314.45,315.35,128404
2021-02-17,00:00:00,315.35,327.0,313.4,325.8,302427
2021-02-18,00:00:00,327.0,331.5,320.1,321.25,276792
2021-02-19,00:00:00,321.15,327.25,317.0,319.3,232812
2021-02-22,00:00:00,319.3,324.6,312.0,313.3,163630
2021-02-23,00:00:00,316.7,324.5,313.6,320.35,482954
2021-02-24,00:00:00,321.2,327.0,317.1,319.5,194299
2021-02-25,00:00:00,320.65,324.5,318.1,321.75,227651
2021-02-26,00:00:00,317.15,326.0,314.6,317.8,203187
2021-03-01,00:00:00,318.95,340.0,318.0,335.95,1246142
2021-03-02,00:00:00,339.0,341.0,331.3,338.6,283451
2021-03-03,00:00:00,340.0,350.0,338.55,343.2,455239
2021-03-04,00:00:00,343.2,356.25,339.25,350.95,443632
2021-03-05,00:00:00,349.5,360.0,340.0,343.85,428682
2021-03-08,00:00:00,346.25,366.45,346.0,354.95,643044
2021-03-09,00:00:00,357.8,364.7,351.0,355.55,447595
2021-03-10,00:00:00,358.65,363.25,352.05,361.55,253953
2021-03-12,00:00:00,365.0,365.55,352.3,354.6,217066
2021-03-15,00:00:00,355.45,355.95,342.0,344.65,135264
2021-03-16,00:00:00,344.0,349.3,342.1,345.7,96728
2021-03-17,00:00:00,345.0,354.05,341.05,342.0,159995
2021-03-18,00:00:00,345.0,348.65,337.7,340.2,121659
2021-03-19,00:00:00,337.55,343.85,331.0,338.55,140521
2021-03-22,00:00:00,336.95,343.7,320.55,334.15,117805
2021-03-23,00:00:00,333.6,341.9,333.0,335.5,71516
2021-03-24,00:00:00,332.25,344.4,331.6,335.8,187205
2021-03-25,00:00:00,336.75,342.55,325.5,327.85,189027
2021-03-26,00:00:00,335.0,335.0,320.05,324.25,197357
2021-03-30,00:00:00,327.0,331.95,321.45,324.5,119898
2021-03-31,00:00:00,322.5,327.75,316.0,318.35,121357
2021-04-01,00:00:00,320.0,326.5,319.6,324.35,131061
2021-04-05,00:00:00,324.95,324.95,302.5,314.3,378813
2021-04-06,00:00:00,315.95,320.55,315.0,317.55,113864
2021-04-07,00:00:00,317.75,327.0,316.85,325.25,154073
2021-04-08,00:00:00,325.0,335.85,324.6,328.9,734193
2021-04-09,00:00:00,329.9,339.0,329.9,333.45,361459
2021-04-12,00:00:00,327.0,327.9,308.85,311.05,370987
2021-04-13,00:00:00,312.0,330.9,308.2,311.6,847455
2021-04-15,00:00:00,315.0,330.4,313.0,322.75,947937
2021-04-16,00:00:00,324.3,328.65,317.2,319.15,351293
2021-04-19,00:00:00,315.95,324.95,311.0,314.85,321823
2021-04-20,00:00:00,316.0,320.9,312.2,314.1,175578
2021-04-22,00:00:00,315.0,324.8,315.0,321.25,274363
2021-04-23,00:00:00,319.0,334.95,318.35,330.5,845345
2021-04-26,00:00:00,335.0,339.0,321.2,322.95,206852
2021-04-27,00:00:00,325.0,327.1,319.1,320.05,201043
2021-04-28,00:00:00,322.5,325.0,319.2,320.0,277469
2021-04-29,00:00:00,322.0,328.5,318.0,323.55,253646
2021-04-30,00:00:00,323.0,355.95,322.0,346.55,3227618
2021-05-03,00:00:00,351.7,414.4,349.05,402.75,8035541
2021-05-04,00:00:00,412.0,434.0,383.1,388.4,4461128
2021-05-05,00:00:00,390.05,426.6,390.05,421.65,4891795
2021-05-06,00:00:00,420.15,428.9,399.4,419.5,1318359
2021-05-07,00:00:00,427.0,439.0,412.1,419.05,1797880
2021-05-10,00:00:00,422.0,449.4,415.9,439.3,1618192
2021-05-11,00:00:00,436.65,455.0,428.1,435.9,756275
2021-05-12,00:00:00,439.2,445.6,414.0,419.85,430625
2021-05-14,00:00:00,419.85,423.5,400.55,409.25,324614
2021-05-17,00:00:00,408.0,435.9,401.55,425.6,768197
2021-05-18,00:00:00,429.2,432.0,415.0,418.45,261488
2021-05-19,00:00:00,416.95,435.0,415.5,427.25,601848
2021-05-20,00:00:00,430.9,430.95,419.05,422.9,304773
2021-05-21,00:00:00,421.9,421.9,413.0,417.35,284037
2021-05-24,00:00:00,417.0,428.25,414.05,416.4,383047
2021-05-25,00:00:00,418.0,425.0,414.2,417.35,573441
2021-05-26,00:00:00,416.4,427.0,416.4,419.85,239783
2021-05-27,00:00:00,420.2,424.0,414.6,421.85,259730
2021-05-28,00:00:00,423.0,424.05,414.8,415.7,152782
2021-05-31,00:00:00,418.1,428.5,416.3,418.05,498474
2021-06-01,00:00:00,418.9,427.5,414.5,415.8,291615
2021-06-02,00:00:00,417.0,420.55,414.0,416.15,200610
2021-06-03,00:00:00,424.4,427.8,419.4,423.1,464648
2021-06-04,00:00:00,425.5,427.9,418.0,419.55,318661
2021-06-07,00:00:00,424.1,448.0,424.1,439.6,2429977
2021-06-08,00:00:00,447.0,463.8,437.2,457.55,2606028
2021-06-09,00:00:00,460.0,463.7,434.0,440.05,1064259
2021-06-10,00:00:00,441.95,449.9,440.05,444.05,780967
2021-06-11,00:00:00,445.1,448.0,434.25,440.25,650952
2021-06-14,00:00:00,442.4,447.0,426.05,436.3,686456
2021-06-15,00:00:00,437.0,444.0,434.25,438.55,329728
2021-06-16,00:00:00,438.0,445.0,425.55,427.4,693017
2021-06-17,00:00:00,425.0,432.0,402.0,428.5,380445
2021-06-18,00:00:00,432.0,434.5,403.6,424.35,821605
2021-06-21,00:00:00,421.05,437.8,420.0,432.35,639655
2021-06-22,00:00:00,435.75,442.85,430.25,434.1,405269
2021-06-23,00:00:00,436.0,437.7,426.1,429.25,240875
2021-06-24,00:00:00,429.25,442.35,421.35,429.5,2138271
2021-06-25,00:00:00,432.95,461.35,428.25,450.7,3153540
2021-06-28,00:00:00,454.0,470.3,454.0,458.05,2279508
2021-06-29,00:00:00,461.0,468.6,437.0,445.5,1513808
2021-06-30,00:00:00,430.0,438.7,425.0,426.45,1326100
2021-07-01,00:00:00,425.0,434.3,413.0,415.0,888664
2021-07-02,00:00:00,415.0,423.95,414.5,417.0,614540
2021-07-05,00:00:00,418.25,428.15,418.2,420.0,998184
2021-07-06,00:00:00,420.05,426.4,414.25,415.9,578451
2021-07-07,00:00:00,417.05,421.0,415.3,416.9,332538
2021-07-08,00:00:00,416.0,428.0,409.25,410.15,942350
2021-07-09,00:00:00,412.1,417.7,409.5,414.7,750699
2021-07-12,00:00:00,418.0,422.35,410.55,412.35,497230
2021-07-13,00:00:00,414.65,418.45,409.0,409.1,974028
2021-07-14,00:00:00,411.55,413.0,405.25,406.45,378752
2021-07-15,00:00:00,408.0,409.9,403.55,404.7,263212
2021-07-16,00:00:00,406.3,417.5,403.55,416.0,648251
2021-07-19,00:00:00,414.95,424.0,411.15,418.2,601708
2021-07-20,00:00:00,418.55,421.2,405.05,409.95,326994
2021-07-22,00:00:00,412.0,418.0,411.8,413.15,243210
2021-07-23,00:00:00,414.4,417.3,411.5,412.3,145922
2021-07-26,00:00:00,415.0,428.0,415.0,425.95,790445
2021-07-27,00:00:00,431.0,439.65,429.0,435.3,1063261
2021-07-28,00:00:00,438.5,440.55,425.6,430.7,442255
2021-07-29,00:00:00,430.5,444.0,430.5,437.55,736403
2021-07-30,00:00:00,435.0,448.8,433.1,437.0,875565
2021-08-02,00:00:00,439.0,440.95,428.0,429.85,332713
2021-08-03,00:00:00,430.0,432.7,422.45,424.85,170410
2021-08-04,00:00:00,425.25,430.85,418.35,423.75,257055
2021-08-05,00:00:00,424.9,425.45,410.15,417.25,262703
2021-08-06,00:00:00,417.4,429.0,414.0,415.2,264793
2021-08-09,00:00:00,415.2,419.05,404.0,405.95,265095
2021-08-10,00:00:00,405.0,408.85,386.2,391.95,429026
2021-08-11,00:00:00,393.9,402.3,377.3,387.95,601551
2021-08-12,00:00:00,389.0,408.9,389.0,407.45,316826
2021-08-13,00:00:00,410.0,418.8,398.8,401.6,446267
2021-08-16,00:00:00,402.8,415.7,402.5,410.45,350907
2021-08-17,00:00:00,417.0,419.9,410.55,415.9,579744
2021-08-18,00:00:00,417.0,419.7,409.0,414.15,288632
2021-08-20,00:00:00,407.0,410.4,400.25,401.95,178215
2021-08-23,00:00:00,404.0,407.0,384.0,386.1,217182
2021-08-24,00:00:00,386.95,393.5,386.2,391.0,231905
2021-08-25,00:00:00,392.75,424.9,391.4,418.75,902282
2021-08-26,00:00:00,420.7,423.75,410.25,414.55,356415
2021-08-27,00:00:00,412.6,412.6,405.1,408.15,149403
2021-08-30,00:00:00,410.0,413.05,403.8,405.55,131319
2021-08-31,00:00:00,407.75,412.4,400.2,403.75,153222
2021-09-01,00:00:00,406.8,413.4,395.0,396.65,371513
2021-09-02,00:00:00,398.9,410.7,398.0,407.7,301220
2021-09-03,00:00:00,409.65,411.7,405.4,409.05,128560
2021-09-06,00:00:00,410.5,411.8,403.1,408.55,159032
2021-09-07,00:00:00,407.0,411.45,403.25,404.2,100820
2021-09-08,00:00:00,407.0,414.25,404.0,406.35,459389
2021-09-09,00:00:00,405.5,411.0,404.2,405.95,158752
2021-09-13,00:00:00,408.0,431.0,400.3,426.8,684232
2021-09-14,00:00:00,428.65,429.0,415.25,422.0,401242
2021-09-15,00:00:00,423.0,429.0,420.3,427.05,268251
2021-09-16,00:00:00,428.8,450.0,428.25,444.4,873380
2021-09-17,00:00:00,446.4,449.2,425.65,433.8,689114
2021-09-20,00:00:00,433.0,437.1,414.0,419.1,213149
2021-09-21,00:00:00,417.75,427.8,411.3,425.25,179275
2021-09-22,00:00:00,424.75,444.0,423.0,442.5,346777
2021-09-23,00:00:00,444.5,446.85,431.1,433.3,198907
2021-09-24,00:00:00,439.4,448.0,425.25,427.2,447282
2021-09-27,00:00:00,425.0,428.45,419.1,423.9,107595
2021-09-28,00:00:00,422.0,426.55,415.3,418.6,147881
2021-09-29,00:00:00,413.9,422.9,413.9,415.45,113464
2021-09-30,00:00:00,414.6,425.0,409.1,420.7,164953
2021-10-01,00:00:00,419.5,430.0,418.0,428.15,210879
2021-10-04,00:00:00,433.0,442.0,425.0,435.75,508524
2021-10-05,00:00:00,435.7,444.0,435.0,438.4,386593
2021-10-06,00:00:00,440.0,451.15,432.7,435.1,479964
2021-10-07,00:00:00,439.0,446.0,432.0,435.7,235397
2021-10-08,00:00:00,438.0,447.75,434.7,437.0,393892
2021-10-11,00:00:00,437.4,441.9,433.6,436.4,145763
2021-10-12,00:00:00,437.55,476.5,433.75,472.55,1879939
2021-10-13,00:00:00,478.0,510.0,475.5,482.7,1957849
2021-10-14,00:00:00,482.7,488.0,468.65,484.95,702855
2021-10-18,00:00:00,487.1,504.0,480.0,494.7,944457
2021-10-19,00:00:00,495.0,495.0,470.2,472.75,380274
2021-10-20,00:00:00,469.0,484.0,457.4,478.2,296765
2021-10-21,00:00:00,483.4,491.5,472.85,478.7,332790
2021-10-22,00:00:00,483.0,489.0,461.0,470.0,252247
2021-10-25,00:00:00,470.0,470.05,445.0,455.65,204259
2021-10-26,00:00:00,449.35,467.9,449.35,463.75,126072
2021-10-27,00:00:00,463.8,467.9,453.6,455.35,99127
2021-10-28,00:00:00,458.9,464.45,450.55,453.95,251998
2021-10-29,00:00:00,450.5,459.0,446.1,456.95,142133
2021-11-01,00:00:00,457.2,464.0,452.75,458.1,318267
2021-11-02,00:00:00,461.75,474.0,461.75,464.65,321385
2021-11-03,00:00:00,466.0,478.7,466.0,474.2,335852
2021-11-04,00:00:00,477.0,485.4,477.0,480.65,86429
2021-11-08,00:00:00,484.9,492.0,477.75,485.8,348494
2021-11-09,00:00:00,470.0,509.8,464.0,503.3,1382860
2021-11-10,00:00:00,503.0,532.9,500.05,505.05,1412877
2021-11-11,00:00:00,508.0,513.3,500.05,505.2,558479
2021-11-12,00:00:00,508.9,512.6,502.1,503.9,245040
2021-11-15,00:00:00,503.9,507.5,491.0,493.0,216429
2021-11-16,00:00:00,493.75,502.0,490.05,492.75,181469
2021-11-17,00:00:00,486.75,511.25,485.0,506.75,468918
2021-11-18,00:00:00,503.85,529.0,497.2,504.55,945085
2021-11-22,00:00:00,500.1,503.35,469.5,472.15,304779
2021-11-23,00:00:00,468.8,480.1,464.6,472.0,141776
2021-11-24,00:00:00,474.7,500.5,474.7,481.35,493096
2021-11-25,00:00:00,478.0,488.0,472.75,485.3,135886
2021-11-26,00:00:00,479.0,485.35,455.8,459.75,167000
2021-11-29,00:00:00,455.0,455.0,400.35,442.35,173376
2021-11-30,00:00:00,440.0,479.0,439.95,466.45,590670
2021-12-01,00:00:00,467.0,474.25,462.9,465.9,131990
2021-12-02,00:00:00,462.5,472.35,462.5,468.45,71562
2021-12-03,00:00:00,466.5,485.0,466.5,481.0,279903
2021-12-06,00:00:00,481.0,484.4,470.2,473.95,119876
2021-12-07,00:00:00,474.5,482.75,471.2,474.1,232811
2021-12-08,00:00:00,476.5,479.0,468.8,471.05,78028
2021-12-09,00:00:00,469.5,492.6,468.05,475.95,267107
2021-12-10,00:00:00,474.0,479.0,469.5,475.6,97967
2021-12-13,00:00:00,475.7,493.6,475.65,484.1,313009
2021-12-14,00:00:00,482.0,482.7,469.85,471.65,116100
2021-12-15,00:00:00,470.8,479.95,467.2,470.55,171357
2021-12-16,00:00:00,472.2,478.8,467.75,473.85,110943
2021-12-17,00:00:00,476.9,476.9,459.1,466.35,153607
2021-12-20,00:00:00,466.05,466.05,436.0,443.15,129277
2021-12-21,00:00:00,444.15,453.55,440.4,444.4,125286
2021-12-22,00:00:00,445.1,452.4,441.8,444.75,75821
2021-12-23,00:00:00,445.6,453.4,442.0,443.9,86767
2021-12-24,00:00:00,447.65,448.85,432.95,435.3,106861
2021-12-27,00:00:00,434.4,439.0,430.5,435.65,55718
2021-12-28,00:00:00,434.35,453.5,434.35,450.15,182338
2021-12-29,00:00:00,454.0,458.4,449.0,450.65,170078
2021-12-30,00:00:00,450.95,457.7,450.0,451.4,82715
2021-12-31,00:00:00,450.45,456.95,449.45,451.35,64620
2022-01-03,00:00:00,451.65,461.25,451.5,455.8,100822
2022-01-04,00:00:00,456.0,509.4,456.0,500.75,2420950
2022-01-05,00:00:00,491.6,495.8,478.0,481.0,523096
2022-01-06,00:00:00,478.55,502.9,471.0,476.55,1135274
2022-01-07,00:00:00,477.8,483.3,471.85,476.05,236536
2022-01-10,00:00:00,483.0,489.95,479.05,484.05,227615
2022-01-11,00:00:00,483.0,493.3,476.6,483.85,223527
2022-01-12,00:00:00,489.0,494.0,480.5,487.65,201891
2022-01-13,00:00:00,488.0,496.5,480.35,488.95,389716
2022-01-14,00:00:00,487.3,521.2,486.5,517.35,1170527
2022-01-17,00:00:00,519.45,528.3,512.3,517.2,658265
2022-01-18,00:00:00,519.75,532.9,495.55,502.35,535800
2022-01-19,00:00:00,498.0,513.6,496.3,509.0,442889
2022-01-20,00:00:00,508.4,518.0,505.3,508.4,250496
2022-01-21,00:00:00,505.5,510.9,491.0,497.6,190291
2022-01-24,00:00:00,498.0,499.0,461.05,466.6,204039
2022-01-25,00:00:00,464.1,476.85,453.1,461.2,280484
2022-01-27,00:00:00,457.0,473.45,456.25,468.45,180835
2022-01-28,00:00:00,470.8,484.3,466.0,467.6,177175
2022-01-31,00:00:00,472.0,489.3,472.0,484.9,163011
2022-02-01,00:00:00,485.85,488.95,474.0,477.55,191857
2022-02-02,00:00:00,478.8,483.4,470.2,472.3,105777
2022-02-03,00:00:00,472.65,495.25,469.4,487.35,362764
2022-02-04,00:00:00,490.0,498.0,485.3,488.1,257881
2022-02-07,00:00:00,489.9,504.95,487.05,494.9,344294
2022-02-08,00:00:00,494.9,496.9,471.5,477.5,215398
2022-02-09,00:00:00,483.1,485.0,468.0,480.4,238803
2022-02-10,00:00:00,481.9,485.4,469.0,470.4,307898
2022-02-11,00:00:00,465.0,467.5,452.3,454.35,268077
2022-02-14,00:00:00,440.0,449.0,431.0,434.2,148739
2022-02-15,00:00:00,435.5,443.0,418.65,433.0,302349
2022-02-16,00:00:00,434.25,443.0,420.35,424.6,490366
2022-02-17,00:00:00,424.0,424.0,412.0,414.15,328352
2022-02-18,00:00:00,413.9,416.15,402.3,411.05,953677
2022-02-21,00:00:00,408.9,415.0,399.1,410.7,327999
2022-02-22,00:00:00,399.5,413.95,395.0,396.2,313383
2022-02-23,00:00:00,400.1,422.0,400.1,420.05,518476
2022-02-24,00:00:00,410.0,423.55,401.85,405.0,523099
2022-02-25,00:00:00,410.0,437.9,410.0,421.2,528041
2022-02-28,00:00:00,409.85,417.0,407.35,413.95,426326
2022-03-02,00:00:00,414.0,422.2,405.6,408.2,417092
2022-03-03,00:00:00,411.8,418.0,394.4,400.2,625654
2022-03-04,00:00:00,394.0,414.0,391.75,406.75,534519
2022-03-07,00:00:00,393.0,407.0,393.0,403.6,673232
2022-03-08,00:00:00,405.0,417.0,404.9,409.05,433200
2022-03-09,00:00:00,411.0,415.25,403.0,408.1,666946
2022-03-10,00:00:00,411.0,415.45,406.0,408.1,316718
2022-03-11,00:00:00,408.95,434.7,407.35,426.05,1822799
2022-03-14,00:00:00,427.4,448.0,424.3,436.75,2020003
2022-03-15,00:00:00,438.85,444.6,402.4,420.95,761096
2022-03-16,00:00:00,422.1,436.0,422.1,426.75,277629
2022-03-17,00:00:00,429.0,438.5,428.55,433.4,411068
2022-03-21,00:00:00,434.95,447.85,434.95,436.75,447535
2022-03-22,00:00:00,436.75,452.9,436.75,444.25,486040
2022-03-23,00:00:00,444.95,454.25,442.05,444.55,226200
2022-03-24,00:00:00,443.0,449.0,437.15,438.4,181479
2022-03-25,00:00:00,441.0,442.6,427.7,440.1,303779
2022-03-28,00:00:00,441.0,446.05,432.65,436.0,189218
2022-03-29,00:00:00,436.0,439.3,431.0,435.1,168561
2022-03-30,00:00:00,436.5,464.7,436.0,459.1,719760
2022-03-31,00:00:00,463.7,466.0,450.05,452.45,244836
2022-04-01,00:00:00,452.0,457.0,447.7,450.95,225046
2022-04-04,00:00:00,451.0,466.05,451.0,459.8,414566
2022-04-05,00:00:00,458.0,471.0,458.0,467.4,312666
2022-04-06,00:00:00,467.0,479.0,461.5,464.35,654395
2022-04-07,00:00:00,465.0,484.45,465.0,475.15,786930
2022-04-08,00:00:00,477.55,485.55,474.0,480.05,267374
2022-04-11,00:00:00,480.05,507.0,480.05,504.4,694542
2022-04-12,00:00:00,505.5,522.8,487.15,515.1,724173
2022-04-13,00:00:00,519.7,520.0,501.25,505.65,346654
2022-04-18,00:00:00,500.0,528.1,492.6,514.0,736678
2022-04-19,00:00:00,520.0,532.0,485.5,499.05,517803
